frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
191,1.584167,1,0.5478,2978.95,1579.32,3037.84,1640.58,55.73,85.42,ok,10
192,1.592500,1,0.5053,2978.91,1579.20,3037.99,1641.62,55.77,86.30,ok,9
193,1.600833,1,0.5815,2979.25,1579.89,3038.40,1643.43,55.70,87.09,ok,11
194,1.609167,1,0.7337,2979.34,1579.83,3038.53,1644.70,55.66,87.95,ok,10
195,1.617500,1,0.7555,2979.23,1579.42,3038.73,1645.62,55.78,89.08,ok,10
196,1.625833,1,0.6054,2979.92,1579.13,3039.85,1646.82,56.68,90.37,ok,10
197,1.634167,1,0.5333,2978.61,1579.29,3038.98,1648.32,55.78,91.60,ok,11
198,1.642500,1,0.6229,2977.07,1579.65,3037.92,1649.43,54.10,92.48,ok,10
199,1.650833,1,0.5777,2975.49,1579.98,3036.79,1650.37,52.33,93.20,ok,10
200,1.659167,1,0.4878,2977.04,1579.94,3038.65,1650.61,53.99,93.60,ok,10
201,1.667500,1,0.2909,2978.34,1580.11,3040.24,1650.86,54.99,93.84,ok,9
202,1.675833,1,0.2804,2978.72,1579.75,3040.83,1650.58,55.68,94.07,ok,9
203,1.684167,1,0.2646,2976.93,1579.62,3039.20,1650.24,53.99,94.05,ok,9
204,1.692500,1,0.2728,2974.79,1579.21,3037.31,1649.32,52.13,93.91,ok,10
205,1.700833,0,,,,,,,93.78,rejected-jump,9
206,1.709167,1,0.5712,2978.73,1578.83,3042.23,1647.48,55.91,93.65,ok,11
207,1.717500,1,0.7949,2979.14,1579.13,3043.41,1646.91,56.34,93.65,ok,10
208,1.725833,1,0.8296,2978.32,1579.49,3043.56,1646.18,55.37,93.69,ok,9
209,1.734167,1,0.7959,2978.76,1579.62,3045.38,1645.49,55.06,94.24,ok,9
210,1.742500,1,0.7610,2978.47,1580.05,3046.89,1645.30,54.36,95.24,ok,8
211,1.750833,1,0.4912,2979.11,1579.67,3049.83,1644.40,54.44,96.75,ok,9
